Rk,Name,Age,Tm,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
148,chafian01,28,ARI,49.1,,77,211,181,18,41,11,1,0,5,3,25,53,0.227,0.322,0.298,0.621,0.313,54,3,2,0,3,1,2
149,chapmar01,30,NYY,51.1,,55,212,177,15,24,8,0,2,3,0,30,93,0.136,0.278,0.215,0.493,0.268,38,0,5,0,0,0,1
150,chargjt01,27,LAD,32.1,,39,135,117,13,26,6,0,4,5,2,15,40,0.222,0.321,0.376,0.697,0.301,44,2,2,1,0,3,1
151,chatwty01,28,CHC,103.2,,24,486,375,62,92,16,2,9,9,2,95,85,0.245,0.403,0.371,0.774,0.291,139,15,7,5,4,1,1
152,chaveje01,34,TOT,95.1,,62,377,358,28,84,10,1,13,2,1,17,92,0.235,0.268,0.377,0.645,0.278,135,9,0,0,2,1,2
153,chaveje01,34,TEX,56.1,,30,234,221,23,58,9,1,10,1,1,12,50,0.262,0.299,0.448,0.747,0.296,99,5,0,0,1,1,2
154,chaveje01,34,CHC,39,,32,143,137,5,26,1,0,3,1,0,5,42,0.19,0.217,0.263,0.48,0.247,36,4,0,0,1,0,0
155,chenwe02,32,MIA,133.1,,26,572,511,75,131,31,1,19,4,1,47,111,0.256,0.316,0.432,0.749,0.289,221,6,1,5,7,6,3
156,chiriyo01,24,TBR,89.2,,18,370,331,40,84,16,2,7,1,0,25,75,0.254,0.31,0.378,0.687,0.301,125,12,5,2,7,2,3
157,cimbead01,27,TOT,68.1,,70,284,257,28,68,19,3,5,5,1,17,58,0.265,0.323,0.42,0.743,0.321,108,12,6,2,2,9,3
158,cimbead01,27,SDP,48.1,,42,192,177,19,42,10,3,2,4,1,10,51,0.237,0.283,0.362,0.644,0.317,64,6,2,1,2,3,2
159,cimbead01,27,CLE,20,,28,92,80,9,26,9,0,3,1,0,7,7,0.325,0.407,0.55,0.957,0.329,44,6,4,1,0,6,1
160,cingrto01,28,LAD,22.2,,30,95,86,12,19,5,0,2,0,0,6,36,0.221,0.295,0.349,0.644,0.354,30,0,3,0,0,1,1
161,cishest01,32,CHC,70.1,,80,288,248,19,45,8,4,5,0,1,28,78,0.181,0.287,0.306,0.593,0.241,76,4,9,2,1,4,1
