yearID,Name,teamID,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
2017,freelky01,COL,156,,33,688,596,78,169,34,3,17,8,3,63,107,0.284,0.356,0.436,0.792,0.317,260,17,8,14,7,4,6
2017,freemmi01,SEA,1,,1,6,5,1,3,0,0,0,0,0,0,0,0.6,0.5,0.6,1.1,0.5,3,0,0,0,1,0,0
2017,freemsa01,ATL,60,,58,254,222,19,48,6,0,3,2,0,27,59,0.216,0.308,0.284,0.592,0.28,63,6,3,1,1,2,2
2017,friedma01,ATL,26,,9,121,105,15,30,5,1,3,0,1,12,22,0.286,0.38,0.438,0.818,0.338,46,4,4,0,0,1,3
2017,frierer01,TEX,7,,6,31,24,4,6,1,0,0,0,1,6,5,0.25,0.4,0.292,0.692,0.316,7,1,0,1,0,2,0
2017,fryja01,CHW,6.2,,11,36,31,8,12,2,1,1,0,0,5,3,0.387,0.472,0.613,1.085,0.407,19,1,0,0,0,1,0
2017,fulmeca01,CHW,23.1,,7,101,85,10,16,0,0,4,0,0,13,19,0.188,0.31,0.329,0.639,0.194,28,1,2,1,0,0,1
2017,fulmemi01,DET,164.2,,25,676,617,80,150,23,2,13,4,1,40,114,0.243,0.294,0.35,0.644,0.275,216,20,8,3,8,2,9
2017,gallayo01,SEA,130.2,,28,578,509,84,138,26,2,24,5,0,60,94,0.271,0.348,0.472,0.82,0.289,240,12,2,4,3,3,2
2017,gallegi01,NYY,20.1,,16,88,80,12,21,5,0,3,0,0,5,22,0.263,0.302,0.438,0.74,0.321,35,0,0,1,1,1,0
2017,gantjo01,STL,17.1,,7,76,64,9,17,2,1,4,0,1,10,11,0.266,0.368,0.516,0.884,0.26,33,5,1,0,1,1,2
2017,garcija02,TOT,157,,27,673,602,86,157,43,2,18,21,5,64,129,0.261,0.331,0.429,0.759,0.303,258,18,1,2,4,5,6
2017,garcija02,TOT,44,,9,199,173,28,49,14,0,6,6,0,23,44,0.283,0.362,0.468,0.83,0.341,81,5,0,0,3,1,1
2017,garcija02,ATL,113,,18,474,429,58,108,29,2,12,15,5,41,85,0.252,0.318,0.413,0.73,0.288,177,13,1,2,1,4,5
2017,garcija02,MIN,6.2,,1,29,26,3,8,4,0,0,0,0,3,7,0.308,0.379,0.462,0.841,0.421,12,2,0,0,0,0,0
2017,garcija02,NYY,37.1,,8,170,147,25,41,10,0,6,6,0,20,37,0.279,0.359,0.469,0.828,0.327,69,3,0,0,3,1,1
2017,garcija04,MIA,53.1,,68,225,200,29,47,9,2,6,1,2,17,42,0.235,0.305,0.39,0.695,0.266,78,2,4,2,2,0,1
2017,garcilu03,PHI,71.1,,66,295,266,22,61,9,0,3,5,0,26,60,0.229,0.296,0.297,0.593,0.283,79,8,0,1,2,5,1
2017,garcion01,KCR,6,,2,32,27,9,12,2,1,2,0,0,5,2,0.444,0.531,0.815,1.346,0.435,22,3,0,0,0,0,0
2017,gardeni01,TEX,8,,12,40,33,8,10,1,0,1,2,0,7,3,0.303,0.425,0.424,0.849,0.31,14,2,0,0,0,0,1
2017,garream01,CIN,70.2,,16,321,275,60,74,13,1,23,4,4,40,63,0.269,0.363,0.575,0.937,0.266,158,5,2,1,3,2,5
2017,gartory01,TOT,22,,20,90,82,12,18,4,0,4,1,0,6,16,0.22,0.27,0.415,0.684,0.222,34,1,0,1,1,0,1
2017,gartory01,TBR,10.1,,7,48,42,10,13,3,0,3,1,0,5,9,0.31,0.383,0.595,0.978,0.333,25,1,0,1,0,0,0
2017,gartory01,SEA,11.2,,13,42,40,2,5,1,0,1,0,0,1,7,0.125,0.143,0.225,0.368,0.121,9,0,0,0,1,0,1
2017,garzama01,MIL,114.2,,24,504,448,72,121,25,4,17,11,1,45,79,0.27,0.336,0.458,0.794,0.293,205,11,1,7,3,4,3
2017,gausmke01,BAL,186.2,,34,816,736,99,208,39,2,29,9,3,71,179,0.283,0.348,0.459,0.808,0.337,338,21,5,1,3,0,2
2017,gavigsa01,TOT,74.1,,16,313,281,41,76,18,1,16,9,3,26,49,0.27,0.337,0.512,0.849,0.275,144,11,3,1,2,1,1
2017,gavigsa01,SEA,62.1,,12,259,233,37,63,14,1,15,6,3,21,40,0.27,0.333,0.532,0.866,0.267,124,10,2,1,2,1,1
2017,gavigsa01,KCR,12,,4,54,48,4,13,4,0,1,3,0,5,9,0.271,0.352,0.417,0.769,0.316,20,1,1,0,0,0,0
2017,gearrco01,SFG,68,,68,285,240,16,50,11,2,4,4,3,35,64,0.208,0.324,0.321,0.645,0.264,77,8,7,1,2,4,2
2017,geedi01,TOT,49.1,,18,212,191,24,54,11,1,8,0,2,15,41,0.283,0.344,0.476,0.821,0.319,91,7,4,0,2,0,1
2017,geedi01,TEX,13,,4,61,53,10,17,3,0,4,0,1,6,10,0.321,0.41,0.604,1.014,0.333,32,2,2,0,0,0,1
2017,geedi01,MIN,36.1,,14,151,138,14,37,8,1,4,0,1,9,31,0.268,0.318,0.428,0.745,0.314,59,5,2,0,2,0,0
2017,gennesc01,CIN,1,,1,7,5,2,2,0,0,1,0,0,1,0,0.4,0.571,1,1.571,0.25,5,0,1,0,0,0,0
2017,germado01,NYY,14.1,,7,62,51,6,11,3,0,1,0,0,9,18,0.216,0.328,0.333,0.661,0.303,17,2,0,1,1,0,0
2017,gibsoky01,MIN,158,,29,693,624,93,182,32,3,24,1,5,60,121,0.292,0.358,0.468,0.826,0.328,292,26,6,1,2,0,4
2017,gileske01,HOU,62.2,,63,247,222,16,44,8,1,4,4,0,21,83,0.198,0.268,0.297,0.566,0.292,66,4,1,1,2,0,1
2017,gilmase01,NYM,3.1,,2,19,16,5,8,0,0,2,0,0,1,4,0.5,0.5,0.875,1.375,0.545,14,0,0,1,1,0,0
2017,gimench01,MIN,5,,6,22,22,4,7,2,0,1,0,0,0,0,0.318,0.318,0.545,0.864,0.286,12,0,0,0,0,0,0
2017,giolilu01,CHW,45.1,,7,179,163,14,31,4,2,8,2,4,12,34,0.19,0.258,0.387,0.645,0.19,63,2,3,1,0,0,4
2017,givenmy01,BAL,78.2,,69,315,285,24,57,10,0,10,6,1,25,88,0.2,0.276,0.34,0.617,0.251,97,7,5,0,0,1,2
2017,glasnty01,PIT,62,,15,305,254,61,81,20,3,13,15,8,44,56,0.319,0.422,0.575,0.997,0.366,146,4,2,4,1,2,4
2017,gloveko01,WSN,19.1,,23,80,75,11,20,3,0,1,2,0,4,17,0.267,0.3,0.347,0.647,0.328,26,0,0,0,1,0,0
2017,godleza01,ARI,155,,26,627,561,61,124,33,1,15,1,0,53,165,0.221,0.293,0.364,0.657,0.285,204,22,5,6,2,2,5
2017,goedder01,NYM,29,,33,122,109,17,28,8,0,8,2,1,11,33,0.257,0.322,0.55,0.873,0.29,60,1,0,1,1,0,0
2017,goforda01,MIL,1,,1,4,3,0,0,0,0,0,0,0,1,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0
2017,goharlu01,ATL,29.1,,5,123,113,17,32,13,1,2,2,1,8,31,0.283,0.331,0.469,0.8,0.375,53,2,0,2,0,0,0
2017,goldbbr01,CHW,12,,11,62,46,11,14,4,0,2,0,0,14,3,0.304,0.484,0.522,1.006,0.293,24,4,2,0,0,0,0
2017,gomezje01,PHI,22.1,,18,100,89,19,31,4,0,7,0,0,7,21,0.348,0.408,0.629,1.037,0.393,56,4,2,2,0,2,0
